Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,2837.500000,2875.000000,2812.500000,2850.000000,2519.603027,65757000
2021-10-06,2875.000000,3100.000000,2850.000000,3000.000000,2652.213623,222205600
2021-10-07,3000.000000,3037.500000,2950.000000,2987.500000,2641.162842,84459800
2021-10-08,3025.000000,3100.000000,3012.500000,3075.000000,2718.519043,96927800
2021-10-11,3075.000000,3212.500000,3075.000000,3200.000000,2829.027832,146990800
2021-10-12,3200.000000,3250.000000,3162.500000,3200.000000,2829.027832,144795200
2021-10-13,3250.000000,3400.000000,3200.000000,3337.500000,2950.587646,297783800
2021-10-14,3337.500000,3437.500000,3337.500000,3437.500000,3038.994629,156735200
2021-10-15,3475.000000,3487.500000,3325.000000,3375.000000,2983.740234,118737200
2021-10-18,3437.500000,3587.500000,3412.500000,3537.500000,3127.402100,206314600
2021-10-19,3575.000000,3612.500000,3512.500000,3612.500000,3193.707275,128186800
2021-10-21,3675.000000,3725.000000,3625.000000,3662.500000,3237.910889,140777400
2021-10-22,3662.500000,3737.500000,3562.500000,3725.000000,3293.165283,95312000
2021-10-25,3737.500000,3787.500000,3675.000000,3675.000000,3248.961670,97000800
2021-10-26,3675.000000,3700.000000,3600.000000,3637.500000,3215.809082,52453800
2021-10-27,3612.500000,3625.000000,3525.000000,3537.500000,3127.402100,95347600
2021-10-28,3512.500000,3537.500000,3462.500000,3525.000000,3116.351074,78045400
2021-10-29,3587.500000,3587.500000,3425.000000,3500.000000,3094.249268,118294800
2021-11-01,3512.500000,3512.500000,3412.500000,3425.000000,3027.943848,69669000
2021-11-02,3425.000000,3475.000000,3362.500000,3400.000000,3005.842041,60944600
2021-11-03,3400.000000,3525.000000,3362.500000,3512.500000,3105.300049,93339800
2021-11-04,3537.500000,3562.500000,3500.000000,3500.000000,3094.249268,54733000
2021-11-05,3500.000000,3512.500000,3437.500000,3475.000000,3072.147461,32817000
2021-11-08,3500.000000,3562.500000,3462.500000,3525.000000,3116.351074,49871600
2021-11-09,3525.000000,3537.500000,3487.500000,3525.000000,3116.351074,24198600
